"_id","group","item","_label","dist"
51758,3647,1,contains,
51759,3647,2,contains,
51760,3647,3,contains,
51761,3647,4,contains,
51762,3647,5,contains,
51763,3647,6,contains,
51764,3647,7,contains,
51765,3647,8,contains,
51766,3647,9,contains,
51767,3647,10,contains,
51768,3647,11,contains,
51769,3647,12,contains,
51770,3647,13,contains,
51771,3647,14,contains,
51772,3647,15,contains,
51773,3647,16,contains,
51774,3647,17,contains,
51775,3647,18,contains,
51776,3647,19,contains,
51777,3647,20,contains,
51778,3647,21,contains,
51779,3647,22,contains,
51780,3647,23,contains,
51781,3647,24,contains,
51782,3647,25,contains,
51783,3647,26,contains,
51784,3647,27,contains,
51785,3647,28,contains,
51786,3647,29,contains,
51787,3647,30,contains,
51788,3647,31,contains,
51789,3647,32,contains,
51790,3647,33,contains,
51791,3647,34,contains,
51792,3647,35,contains,
51793,3647,36,contains,
51794,3647,37,contains,
51795,3647,38,contains,
51796,3647,39,contains,
51797,3592,40,contains,
51798,3647,41,contains,
51799,3647,42,contains,
51800,3647,43,contains,
51801,3647,44,contains,
51802,3647,45,contains,
51803,3647,46,contains,
51804,3459,47,contains,
51805,3459,48,contains,
51806,3645,49,contains,
51807,3645,50,contains,
51808,3498,51,contains,
51809,3484,52,contains,
51810,3497,53,contains,
51811,3529,54,contains,
51812,3434,55,contains,
51813,3615,56,contains,
51814,3434,57,contains,
51815,3646,58,contains,
51816,3520,59,contains,
51817,3524,60,contains,
51818,3517,61,contains,
51819,3434,62,contains,
51820,3580,63,contains,
51821,3464,64,contains,
51822,3580,65,contains,
51823,3434,66,contains,
51824,3464,67,contains,
51825,3527,68,contains,
51826,3520,69,contains,
51827,3572,70,contains,
51828,3551,71,contains,
51829,3477,72,contains,
51830,3619,73,contains,
51831,3619,74,contains,
51832,3433,75,contains,
51833,3628,76,contains,
51834,3628,77,contains,
51835,3459,78,contains,
51836,3441,79,contains,
51837,3484,80,contains,
51838,3580,81,contains,
51839,3434,82,contains,
51840,3647,83,contains,
51841,3645,84,contains,
51842,3459,85,contains,
51843,3459,86,contains,
51844,3484,87,contains,
51845,3645,88,contains,
51846,3626,89,contains,
51847,3527,90,contains,
51848,3524,91,contains,
51849,3579,92,contains,
51850,3626,93,contains,
51851,3645,94,contains,
51852,3645,95,contains,
51853,3645,96,contains,
51854,3645,97,contains,
51855,3645,98,contains,
51856,3459,99,contains,
51857,3588,100,contains,
51858,3635,101,contains,
51859,3597,102,contains,
51860,3597,103,contains,
51861,3529,104,contains,
51862,3529,105,contains,
51863,3593,106,contains,
51864,3498,107,contains,
51865,3498,108,contains,
51866,3527,109,contains,
51867,3506,110,contains,
51868,3473,111,contains,
51869,3518,112,contains,
51870,3619,113,contains,
51871,3619,114,contains,
51872,3619,115,contains,
51873,3619,116,contains,
51874,3520,117,contains,
51875,3520,118,contains,
51876,3520,119,contains,
51877,3520,120,contains,
51878,3520,121,contains,
51879,3594,122,contains,
51880,3459,123,contains,
51881,3619,124,contains,
51882,3622,125,contains,
51883,3622,126,contains,
51884,3622,127,contains,
51885,3533,128,contains,
51886,3533,129,contains,
51887,3648,130,contains,
51888,3450,131,contains,
51889,3450,132,contains,
51890,3430,133,contains,
51891,3587,134,contains,
51892,3463,135,contains,
51893,3561,136,contains,
51894,3528,137,contains,
51895,3647,138,contains,
51896,3476,139,contains,
51897,3590,140,contains,
51898,3553,141,contains,
51899,3453,142,contains,
51900,3614,143,contains,
51901,3487,144,contains,
51902,3491,145,contains,
51903,3526,146,contains,
51904,3647,147,contains,
51905,3647,148,contains,
51906,3647,149,contains,
51907,3647,150,contains,
51908,3647,151,contains,
51909,3647,152,contains,
51910,3647,153,contains,
51911,3536,154,contains,
51912,3456,155,contains,
51913,3434,156,contains,
51914,3434,157,contains,
51915,3434,158,contains,
51916,3647,159,contains,
51917,3434,160,contains,
51918,3639,161,contains,
51919,3437,162,contains,
51920,3459,163,contains,
51921,3646,164,contains,
51922,3653,165,contains,
51923,3459,166,contains,
51924,3484,167,contains,
51925,3484,168,contains,
51926,3527,169,contains,
51927,3527,170,contains,
51928,3527,171,contains,
51929,3527,172,contains,
51930,3527,173,contains,
51931,3527,174,contains,
51932,3527,175,contains,
51933,3498,176,contains,
51934,3480,177,contains,
51935,3647,178,contains,
51936,3546,179,contains,
51937,3561,180,contains,
51938,3647,181,contains,
51939,3647,182,contains,
51940,3647,183,contains,
51941,3647,184,contains,
51942,3647,185,contains,
51943,3647,186,contains,
51944,3647,187,contains,
51945,3647,188,contains,
51946,3647,189,contains,
51947,3647,190,contains,
51948,3647,191,contains,
51949,3647,192,contains,
51950,3647,193,contains,
51951,3647,194,contains,
51952,3561,195,contains,
51953,3647,196,contains,
51954,3434,197,contains,
51955,3484,198,contains,
51956,3508,199,contains,
51957,3484,200,contains,
51958,3624,201,contains,
51959,3591,202,contains,
51960,3505,203,contains,
51961,3638,204,contains,
51962,3630,205,contains,
51963,3645,206,contains,
51964,3571,207,contains,
51965,3436,208,contains,
51966,3436,209,contains,
51967,3436,210,contains,
51968,3647,211,contains,
51969,3529,212,contains,
51970,3529,213,contains,
51971,3529,214,contains,
51972,3609,215,contains,
51973,3581,216,contains,
51974,3519,217,contains,
